sample_id,project_type,city_tier,climate_zone,region,area_sqft,usable_area_pct,sunlight_hours,shade_level,floor_level,wind_exposure,load_capacity_level,railing_height_ft,waterproofing_status,drainage_quality,access_ease,surface_type,roof_material,ambient_heat_severity,avg_summer_temp_c,humidity_pct,rainfall_level,air_quality_level,dust_exposure,water_availability,irrigation_possible,orientation,surrounding_built_density,budget_inr,maintenance_preference,aesthetic_style,purpose_primary,child_pet_safe_required,edible_plants_preferred,flowering_preferred,privacy_required,seating_required,shade_required,biodiversity_priority,native_species_preference,recommendation_type,greenery_density,planter_type,irrigation_type,shade_solution,cooling_strategy,maintenance_level_pred,estimated_install_cost_inr,estimated_annual_maintenance_inr,expected_temp_reduction_c,expected_surface_temp_reduction_c,pollinator_support_score,privacy_score,feasibility_score,safety_score,species_primary,species_secondary,species_tertiary,species_mix_type,species_count_estimate,recommendation_acceptance_likelihood,long_term_success_likelihood,heat_mitigation_score,water_efficiency_score,overall_recommendation_score
SYN-000042-000000,balcony,tier_1,semi_arid,Hyderabad,59.49,80.8,6.49,none,3,0.4231,high,3.63,poor,ok,moderate,tiles,rcc,low,31.77,64,heavy_monsoon,poor,high,limited,0,mixed,high,69154,low,minimal_modern,cooling,0,0,0,0,0,1,1,1,planters_only,moderate,wooden_box,rainfed_only,shade_net_50,reflective_mulch,L1_light,68682.89,7102.25,4.2,6.13,0.3425,0.1,0.9088,0.8315,Holy basil (tulsi),Holy basil (tulsi),Holy basil (tulsi),single_species,1,0.5235,0.3656,0.438,0.505,0.4478
SYN-000042-000001,rooftop,tier_1,composite_monsoon,Lucknow,1633.95,61.8,7.07,low,7,0.4839,medium,3.7,fair,ok,difficult,concrete,rcc,moderate,33.39,65,dry,very_poor,medium,limited,0,N,very_high,39299,moderate,minimal_modern,aesthetics,0,0,0,0,0,0,0,0,planters_only,sparse,fabric_grow_bag,manual_watering,none,evapotranspiration_light,L2_moderate,45193.85,7939.19,5.242,7.028,0.422,0.1,0.9271,0.8761,Sedum mix,Dwarf lantana,Portulaca,tri_layer_simple,3,0.5296,0.3215,0.5738,0.505,0.5006
SYN-000042-000002,rooftop,tier_1,composite_monsoon,Mumbai_MMR,1639.01,57.4,8.39,high,6,0.8178,high,3.74,good,good,easy,concrete,rcc,moderate,34.98,92,moderate,poor,medium,adequate,1,S,high,8000,low,tropical_lush,food,0,1,1,1,0,1,0,1,herb_focused,moderate,plastic_basic,manual_watering,shade_net_50,evapotranspiration_light,L1_light,12000.0,658.89,5.873,6.907,0.5504,0.6,1.0,0.8819,Curry leaf screen,Marigold,Ridge gourd,polyculture_lite,4,0.5082,0.4942,0.6436,0.8625,0.598
SYN-000042-000003,balcony,tier_3,tropical_dry,Other,187.53,83.6,5.74,medium,4,0.3592,medium,2.57,fair,good,easy,tiles,rcc,low,34.57,45,heavy_monsoon,good,low,scarce,0,S,high,121619,low,colorful_annuals,low_maintenance_green,0,1,1,1,1,0,0,0,planters_only,dense,metal_trough,manual_watering,none,reflective_mulch,L2_moderate,139861.85,23871.17,6.903,8.549,0.3907,0.35,0.9058,0.744,Holy basil (tulsi),Malabar spinach,Curry leaf screen,tri_layer_simple,3,0.4038,0.2788,0.7149,0.45,0.5092
SYN-000042-000004,terrace,tier_2,semi_arid,Hyderabad,503.22,70.7,8.22,high,10,0.4203,medium,4.48,good,poor,moderate,concrete,rcc,moderate,31.4,77,moderate,poor,medium,adequate,1,W,medium,64360,low,mediterranean,food,0,1,0,0,0,1,0,0,herb_focused,moderate,modular_rail_planters,drip_timer,companion_tall_plants,evapotranspiration_light,L1_light,74014.0,7565.54,4.675,6.513,0.42,0.35,0.9908,0.8799,Marigold,Lemongrass screen,Ridge gourd,tri_layer_simple,3,0.6623,0.5572,0.5155,1.0,0.6917
SYN-000042-000005,balcony,tier_4,tropical_humid,Jaipur,91.35,64.3,4.26,high,8,0.4673,medium,3.93,good,good,moderate,concrete,rcc,low,31.89,50,dry,moderate,high,adequate,0,W,high,73637,high,kitchen_garden,mixed,0,0,1,0,0,0,0,0,intensive_green_roof_lite,moderate,concrete_custom,manual_watering,none,evapotranspiration_light,L3_intensive,66163.86,4699.75,3.914,6.292,0.1425,0.1,0.9865,0.8503,Holy basil (tulsi),Holy basil (tulsi),Holy basil (tulsi),single_species,1,0.3292,0.2899,0.4094,0.67,0.423
SYN-000042-000006,rooftop,tier_1,tropical_dry,Chennai,1327.69,58.8,5.29,medium,4,0.6213,medium,3.76,poor,ok,easy,soil_patch,tiles,high,33.4,28,moderate,moderate,high,adequate,1,mixed,high,63440,low,minimal_modern,aesthetics,0,0,1,1,0,1,1,1,shade_first_greenery,dense,modular_rail_planters,manual_watering,shade_net_50,evapotranspiration_heavy,L2_moderate,72956.0,5284.28,8.635,9.63,0.6596,0.35,0.9603,0.8216,Holy basil (tulsi),Vetiver grass,Bougainvillea,tri_layer_simple,3,0.6597,0.6134,0.9432,0.8625,0.8093
SYN-000042-000007,balcony,tier_2,tropical_humid,Kochi,174.45,90.0,5.09,none,8,0.2455,medium,3.61,poor,good,easy,tiles,rcc,low,35.33,63,dry,poor,medium,adequate,1,N,high,132665,moderate,tropical_lush,aesthetics,0,1,0,0,0,0,0,0,shade_first_greenery,moderate,wooden_box,drip_timer,umbrella_portable,evapotranspiration_light,L2_moderate,152564.75,14955.95,4.159,7.119,0.2747,0.1,0.9814,0.8668,Holy basil (tulsi),Malabar spinach,Mint,duo_complement,2,0.6408,0.564,0.4436,1.0,0.6266
SYN-000042-000008,rooftop,tier_1,composite_monsoon,Lucknow,1689.22,68.9,10.28,none,8,0.3796,high,3.3,fair,ok,moderate,tiles,tiles,low,30.92,50,heavy_monsoon,moderate,high,limited,0,NE,medium,36569,minimal,mediterranean,privacy,0,0,0,1,0,0,0,1,succulent_forward,dense,fabric_grow_bag,manual_watering,none,evapotranspiration_light,L1_light,42054.35,4256.8,7.07,10.783,0.3825,0.6,0.8977,0.8861,Curry leaf screen,Bougainvillea,Prickly pear,tri_layer_simple,3,0.6165,0.4989,0.725,0.505,0.6618
SYN-000042-000009,rooftop,tier_3,tropical_humid,Hyderabad,1760.75,72.0,9.73,low,12,0.3487,low,3.9,fair,good,difficult,concrete,rcc,moderate,36.23,61,heavy_monsoon,poor,medium,adequate,1,E,medium,112887,moderate,colorful_annuals,cooling,0,0,0,0,0,1,0,0,planters_only,dense,wooden_box,drip_timer,shade_net_75,combined_shade_et,L3_intensive,129820.05,13709.98,8.11,11.677,0.557,0.1,0.8864,0.8756,Marigold,Sweet basil,Okra,polyculture_lite,4,0.4318,0.4623,0.8725,1.0,0.621
