project_id,candidate_id,rank_position,is_best_candidate,sample_id,project_type,city_tier,climate_zone,region,area_sqft,usable_area_pct,sunlight_hours,shade_level,floor_level,wind_exposure,load_capacity_level,railing_height_ft,waterproofing_status,drainage_quality,access_ease,surface_type,roof_material,ambient_heat_severity,avg_summer_temp_c,humidity_pct,rainfall_level,air_quality_level,dust_exposure,water_availability,irrigation_possible,orientation,surrounding_built_density,budget_inr,maintenance_preference,aesthetic_style,purpose_primary,child_pet_safe_required,edible_plants_preferred,flowering_preferred,privacy_required,seating_required,shade_required,biodiversity_priority,native_species_preference,recommendation_type,greenery_density,planter_type,irrigation_type,shade_solution,cooling_strategy,maintenance_level_pred,estimated_install_cost_inr,estimated_annual_maintenance_inr,expected_temp_reduction_c,expected_surface_temp_reduction_c,pollinator_support_score,privacy_score,feasibility_score,safety_score,species_primary,species_secondary,species_tertiary,species_mix_type,species_count_estimate,recommendation_acceptance_likelihood,long_term_success_likelihood,heat_mitigation_score,water_efficiency_score,overall_recommendation_score
PRJ-000001-000000,PRJ-000001-000000-C01,1,1,PRJ-000001-000000,terrace,tier_2,tropical_humid,Kolkata,659.94,72.3,7.26,low,10,0.5846,medium,3.27,fair,ok,moderate,concrete,rcc,high,35.44,54,dry,moderate,high,limited,0,mixed,very_high,8000,low,tropical_lush,cooling,0,0,1,0,0,1,0,1,succulent_forward,moderate,plastic_basic,manual_watering,shade_net_75,combined_shade_et,L1_light,12000.0,938.51,6.567,11.979,0.4703,0.35,0.9234,0.832,Bougainvillea,Prickly pear,Holy basil (tulsi),tri_layer_simple,3,0.6773,0.5091,0.745,0.505,0.6148
PRJ-000001-000000,PRJ-000001-000000-C03,2,0,PRJ-000001-000000,terrace,tier_2,tropical_humid,Kolkata,659.94,72.3,7.26,low,10,0.5846,medium,3.27,fair,ok,moderate,concrete,rcc,high,35.44,54,dry,moderate,high,limited,0,mixed,very_high,8000,low,tropical_lush,cooling,0,0,1,0,0,1,0,1,planters_only,sparse,terracotta,manual_watering,shade_net_50,combined_shade_et,L1_light,12000.0,784.61,7.285,12.708,0.4703,0.1,0.9095,0.8444,Sedum mix,Prickly pear,Bougainvillea,tri_layer_simple,3,0.5614,0.4153,0.8168,0.505,0.607
PRJ-000001-000000,PRJ-000001-000000-C00,3,0,PRJ-000001-000000,terrace,tier_2,tropical_humid,Kolkata,659.94,72.3,7.26,low,10,0.5846,medium,3.27,fair,ok,moderate,concrete,rcc,high,35.44,54,dry,moderate,high,limited,0,mixed,very_high,8000,low,tropical_lush,cooling,0,0,1,0,0,1,0,1,planters_only,dense,fabric_grow_bag,manual_watering,companion_tall_plants,combined_shade_et,L2_moderate,12000.0,1578.26,8.619,16.349,0.5903,0.35,0.9871,0.8567,Bougainvillea,Sedum mix,Holy basil (tulsi),polyculture_lite,4,0.3837,0.2022,0.9501,0.505,0.5327
PRJ-000001-000000,PRJ-000001-000000-C02,4,0,PRJ-000001-000000,terrace,tier_2,tropical_humid,Kolkata,659.94,72.3,7.26,low,10,0.5846,medium,3.27,fair,ok,moderate,concrete,rcc,high,35.44,54,dry,moderate,high,limited,0,mixed,very_high,8000,low,tropical_lush,cooling,0,0,1,0,0,1,0,1,succulent_forward,dense,fabric_grow_bag,manual_watering,companion_tall_plants,evapotranspiration_heavy,L2_moderate,12000.0,1360.21,8.164,9.515,0.5903,0.35,0.9441,0.8459,Bougainvillea,Holy basil (tulsi),Sedum mix,polyculture_lite,4,0.3728,0.1888,0.9047,0.505,0.531
PRJ-000001-000001,PRJ-000001-000001-C00,1,1,PRJ-000001-000001,balcony,tier_1,composite_monsoon,Ahmedabad,52.09,58.9,5.98,medium,12,0.527,high,3.69,poor,ok,moderate,concrete,rcc,high,37.86,30,moderate,poor,medium,scarce,0,N,very_high,37252,high,kitchen_garden,cooling,0,0,0,0,0,1,0,0,succulent_forward,moderate,vertical_stack,rainfed_only,companion_tall_plants,combined_shade_et,L3_intensive,42839.8,3604.25,8.045,12.431,0.243,0.1,0.8878,0.8397,Holy basil (tulsi),Holy basil (tulsi),Holy basil (tulsi),single_species,1,0.4186,0.2839,0.9029,0.45,0.5675
PRJ-000001-000001,PRJ-000001-000001-C03,2,0,PRJ-000001-000001,balcony,tier_1,composite_monsoon,Ahmedabad,52.09,58.9,5.98,medium,12,0.527,high,3.69,poor,ok,moderate,concrete,rcc,high,37.86,30,moderate,poor,medium,scarce,0,N,very_high,37252,high,kitchen_garden,cooling,0,0,0,0,0,1,0,0,planters_only,sparse,metal_trough,manual_watering,shade_net_50,evapotranspiration_light,L3_intensive,41381.65,6756.16,8.496,10.448,0.243,0.1,0.8939,0.843,Jade plant,Jade plant,Jade plant,single_species,1,0.2672,0.052,0.948,0.45,0.4798
PRJ-000001-000001,PRJ-000001-000001-C01,3,0,PRJ-000001-000001,balcony,tier_1,composite_monsoon,Ahmedabad,52.09,58.9,5.98,medium,12,0.527,high,3.69,poor,ok,moderate,concrete,rcc,high,37.86,30,moderate,poor,medium,scarce,0,N,very_high,37252,high,kitchen_garden,cooling,0,0,0,0,0,1,0,0,succulent_forward,moderate,fabric_grow_bag,manual_watering,companion_tall_plants,evapotranspiration_light,L3_intensive,42839.8,5609.37,8.402,14.172,0.243,0.1,0.8855,0.9102,Holy basil (tulsi),Holy basil (tulsi),Holy basil (tulsi),single_species,1,0.2757,0.05,0.9386,0.45,0.4434
PRJ-000001-000001,PRJ-000001-000001-C02,4,0,PRJ-000001-000001,balcony,tier_1,composite_monsoon,Ahmedabad,52.09,58.9,5.98,medium,12,0.527,high,3.69,poor,ok,moderate,concrete,rcc,high,37.86,30,moderate,poor,medium,scarce,0,N,very_high,37252,high,kitchen_garden,cooling,0,0,0,0,0,1,0,0,succulent_forward,sparse,plastic_basic,manual_watering,shade_net_75,surface_shading,L3_intensive,37917.35,6918.7,7.367,11.034,0.243,0.1,0.8988,0.8389,Holy basil (tulsi),Holy basil (tulsi),Holy basil (tulsi),single_species,1,0.4043,0.1562,0.8351,0.45,0.4085
PRJ-000001-000002,PRJ-000001-000002-C01,1,1,PRJ-000001-000002,rooftop,tier_1,composite_monsoon,Bangalore,1197.31,71.3,5.28,medium,15,0.8071,high,3.82,good,good,moderate,concrete,metal_sheet,low,30.12,63,heavy_monsoon,poor,medium,limited,0,NW,very_high,96444,moderate,mediterranean,food,0,1,0,1,0,0,1,1,herb_focused,dense,plastic_basic,manual_watering,umbrella_portable,evapotranspiration_light,L3_intensive,110910.6,10210.84,6.483,8.508,0.7025,0.6,0.8675,0.8988,Holy basil (tulsi),Curry leaf screen,Marigold,polyculture_lite,4,0.3877,0.3462,0.6663,0.505,0.5204
PRJ-000001-000002,PRJ-000001-000002-C03,2,0,PRJ-000001-000002,rooftop,tier_1,composite_monsoon,Bangalore,1197.31,71.3,5.28,medium,15,0.8071,high,3.82,good,good,moderate,concrete,metal_sheet,low,30.12,63,heavy_monsoon,poor,medium,limited,0,NW,very_high,96444,moderate,mediterranean,food,0,1,0,1,0,0,1,1,mixed_canopy_lite,moderate,vertical_stack,rainfed_only,none,evapotranspiration_light,L2_moderate,110910.6,16642.13,4.014,5.904,0.5825,0.6,0.9552,0.8528,Holy basil (tulsi),Curry leaf screen,Malabar spinach,tri_layer_simple,3,0.4243,0.292,0.4194,0.505,0.5191
