space_type,area_sqm,length_m,width_m,sunlight_hours,shade_level,wind_exposure,water_access,drainage_quality,avg_day_temp_c,peak_surface_temp_c,humidity_pct,rainfall_level,heat_island_score,maintenance_level,budget_level,preferred_style,edible_preference,flowering_preference,pet_safe_required,irrigation_allowed,data_source,species_aloe_vera,species_basil_sweet,species_bougainvillea,species_cherry_tomato,species_chilli,species_coriander,species_curry_leaf,species_geranium_pelargonium,species_hibiscus,species_jade_plant,species_lemongrass,species_malabar_spinach,species_marigold,species_mint,species_plumeria,species_portulaca,species_pothos,species_prickly_pear,species_sedum,species_snake_plant,species_spider_plant,species_tulsi_holy,species_vinca,species_zinnia
BALCONY_outdoor,2.9,1.95,1.49,3.2,HIGH,0.52,CARRY_BUCKETS,POOR,29.1,41.0,34,HEAVY,0.483,0,1,cooling_green,1,1,0,0,synthetic_bootstrap_v1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
BALCONY_outdoor,2.45,1.77,1.38,4.0,MEDIUM,0.315,CARRY_BUCKETS,OK,35.9,49.4,46,DRY,0.632,3,2,food_garden,1,0,1,0,synthetic_bootstrap_v1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1
TERRACE_outdoor,3.81,2.09,1.82,8.9,MEDIUM,0.376,RAIN_ONLY,POOR,29.4,47.8,74,MODERATE,0.819,1,1,food_garden,1,0,0,0,synthetic_bootstrap_v1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
BALCONY_indoor,8.36,2.92,2.86,4.5,MEDIUM,0.098,CARRY_BUCKETS,OK,39.2,51.5,46,MODERATE,0.389,2,2,food_garden,1,1,1,1,synthetic_bootstrap_v1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1
BALCONY_outdoor,1.5,1.31,1.15,3.5,LOW,0.832,HOSE_ON_DECK,GOOD,37.4,46.7,55,DRY,0.644,3,1,food_garden,1,0,0,1,synthetic_bootstrap_v1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
BALCONY_outdoor,2.96,1.91,1.55,4.9,MEDIUM,0.167,SPOUT_NEAR,OK,39.7,45.8,67,HEAVY,0.693,1,2,food_garden,1,1,0,1,synthetic_bootstrap_v1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
ROOFTOP_outdoor,10.78,3.89,2.77,10.7,LOW,0.829,CARRY_BUCKETS,POOR,29.6,39.9,82,DRY,0.836,3,1,food_garden,1,0,0,1,synthetic_bootstrap_v1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
ROOFTOP_outdoor,7.77,2.5,3.11,9.2,MEDIUM,0.714,RAIN_ONLY,POOR,40.0,49.7,38,DRY,0.615,1,2,cooling_green,1,0,0,1,synthetic_bootstrap_v1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
TERRACE_outdoor,2.96,2.01,1.47,6.4,MEDIUM,0.733,HOSE_ON_DECK,OK,34.4,49.3,51,DRY,0.849,2,1,food_garden,1,1,0,0,synthetic_bootstrap_v1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
BALCONY_outdoor,4.26,1.98,2.15,7.6,MEDIUM,0.281,HOSE_ON_DECK,GOOD,31.4,41.9,62,DRY,0.434,2,2,food_garden,1,0,0,1,synthetic_bootstrap_v1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
TERRACE_outdoor,5.42,2.06,2.63,10.9,LOW,0.374,SPOUT_NEAR,POOR,30.3,39.9,50,HEAVY,0.627,3,1,minimal_low_care,1,0,0,0,synthetic_bootstrap_v1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
BALCONY_outdoor,11.51,3.96,2.91,4.8,LOW,0.091,CARRY_BUCKETS,OK,34.7,50.0,36,DRY,0.745,1,1,ornamental_color,1,1,0,1,synthetic_bootstrap_v1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
TERRACE_outdoor,3.77,1.88,2.01,9.6,MEDIUM,0.947,SPOUT_NEAR,GOOD,36.3,47.5,63,DRY,0.56,2,1,ornamental_color,1,1,0,1,synthetic_bootstrap_v1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
BALCONY_outdoor,1.63,1.24,1.31,3.3,HIGH,0.535,RAIN_ONLY,GOOD,37.6,52.1,76,DRY,0.488,1,1,mixed_edible_ornamental,0,1,0,1,synthetic_bootstrap_v1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0
ROOFTOP_outdoor,3.58,1.8,1.99,5.3,LOW,0.665,HOSE_ON_DECK,OK,38.4,52.5,85,HEAVY,0.96,1,0,mixed_edible_ornamental,1,0,0,1,synthetic_bootstrap_v1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
TERRACE_outdoor,4.69,1.98,2.37,9.5,MEDIUM,0.182,CARRY_BUCKETS,OK,29.2,49.1,83,MODERATE,0.631,2,1,mixed_edible_ornamental,1,1,0,0,synthetic_bootstrap_v1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
BALCONY_outdoor,10.09,3.73,2.71,3.3,MEDIUM,0.517,SPOUT_NEAR,OK,38.3,58.0,60,MODERATE,0.373,2,3,mixed_edible_ornamental,1,0,0,0,synthetic_bootstrap_v1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
ROOFTOP_outdoor,3.03,1.65,1.84,5.4,LOW,0.674,SPOUT_NEAR,OK,30.3,38.8,66,MODERATE,0.583,1,2,food_garden,1,1,0,0,synthetic_bootstrap_v1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
BALCONY_outdoor,5.05,2.0,2.52,7.6,LOW,0.871,CARRY_BUCKETS,POOR,37.9,44.4,52,DRY,0.43,1,1,food_garden,1,0,0,1,synthetic_bootstrap_v1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ROOFTOP_outdoor,2.6,1.43,1.82,11.2,LOW,0.445,RAIN_ONLY,OK,33.7,49.1,74,DRY,0.927,2,1,ornamental_color,1,1,0,0,synthetic_bootstrap_v1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
