code,display_name,scientific_name,family,genus,kingdom,category,growth_habit,cycle,native_range_notes,invasive_risk,hardiness_zone_min,hardiness_zone_max,max_height_cm,edible,flowering,pet_safe,drought_tolerant,heat_tolerant,low_maintenance,min_sun_hours,max_sun_hours,drought_tolerance,climate_suitability,sunlight_preference,water_demand,maintenance_need,root_aggressiveness,pollinator_value,child_pet_safety,native_support,container_suitability,cooling_contribution,privacy_contribution,tags_json,notes,image_url,image_thumbnail,image_license,image_source,image_local_path,ml_weight,active,source_perenual,source_gbif,source_wikipedia,source_seed,confidence
tulsi_holy,Holy basil (Tulsi),Ocimum tenuiflorum,Lamiaceae,Ocimum,Plantae,HERB,HERB,Perennial,Species of flowering plant,LOW,,,,true,true,true,true,true,true,4,10,MED,TROPICAL|HOT_HUMID|SUBTROPICAL,PART,MED,MED,LOW,0.5,SAFE,HIGH,GOOD,1.3,0.8,"[""native_adapted"",""aromatic"",""pollinator""]",India staple; handles heat; pinch flowers for leaf production.,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Tulsi_or_Tulasi_Holy_basil.jpg/330px-Tulsi_or_Tulasi_Holy_basil.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Tulsi_or_Tulasi_Holy_basil.jpg/330px-Tulsi_or_Tulasi_Holy_basil.jpg,CC,wikipedia,,1,true,no,yes,yes,yes,0.5
basil_sweet,Sweet basil,Ocimum basilicum,Lamiaceae,Ocimum,Plantae,HERB,HERB,Perennial,Culinary herb,LOW,,,,true,true,true,false,true,true,4,8,MED,TROPICAL|HOT_HUMID|SUBTROPICAL|TEMPERATE,PART,MED,MED,LOW,0,SAFE,HIGH,GOOD,1.3,0.8,"[""container"",""monsoon_ok""]",Bolts in extreme heat—afternoon shade helps; water consistently.,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Ocimum_basilicum_8zz.jpg/330px-Ocimum_basilicum_8zz.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Ocimum_basilicum_8zz.jpg/330px-Ocimum_basilicum_8zz.jpg,CC,wikipedia,,1,true,no,yes,yes,yes,0.5
mint,Mint,Mentha spp.,,,Plantae,HERB,HERB,Perennial,,LOW,,,,true,true,true,false,true,true,3,6,MED,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,SAFE,LOW,GOOD,1.3,0.8,"[""container"",""moist_soil""]",Use deep pot; invasive roots—isolate. Part sun on hot roofs.,,,CC,,,1,true,no,no,no,yes,0.1
coriander,Coriander (Cilantro),Coriandrum sativum,Apiaceae,Coriandrum,Plantae,HERB,HERB,Perennial,Annual herb,LOW,,,,true,true,true,false,false,true,3,5,MED,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,SAFE,LOW,GOOD,1.3,0.8,"[""quick_crop"",""shade_afternoon""]",Sow in cooler windows; bolt risk in peak summer—succession plant.,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Coriandrum_sativum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-193.jpg/330px-Coriandrum_sativum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-193.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Coriandrum_sativum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-193.jpg/330px-Coriandrum_sativum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-193.jpg,CC,wikipedia,,1,true,no,yes,yes,yes,0.5
curry_leaf,Curry leaf tree (Kadi patta),Murraya koenigii,Rutaceae,Murraya,Plantae,HERB,HERB,Perennial,Species of flowering plant,LOW,,,,true,true,false,true,true,true,6,10,MED,TROPICAL|HOT_HUMID|MONSOON_HEAVY|SUBTROPICAL,PART,MED,MED,LOW,1.5,UNSAFE,HIGH,GOOD,1.3,0.8,"[""perennial_pot"",""wind_ok""]",Large container; protect roots from waterlogging in monsoon.,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Curry_Trees.jpg/330px-Curry_Trees.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Curry_Trees.jpg/330px-Curry_Trees.jpg,CC,wikipedia,,1,true,no,yes,yes,yes,0.5
lemongrass,Lemongrass,Cymbopogon citratus,Poaceae,Cymbopogon,Plantae,HERB,HERB,Perennial,Species of plant,LOW,,,,true,false,true,true,true,true,6,10,MED,TROPICAL|HOT_HUMID|MONSOON_HEAVY,PART,MED,MED,LOW,0,SAFE,HIGH,GOOD,1.3,0.8,"[""container"",""privacy_screen""]",Excellent heat performer; divide clumps yearly in pots.,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Gardenology.org-IMG_2892_rbgs11jan.jpg/330px-Gardenology.org-IMG_2892_rbgs11jan.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Gardenology.org-IMG_2892_rbgs11jan.jpg/330px-Gardenology.org-IMG_2892_rbgs11jan.jpg,CC,wikipedia,,1,true,no,yes,yes,yes,0.5
cherry_tomato,Cherry tomato,Solanum lycopersicum,Solanaceae,Solanum,Plantae,VEGETABLE,VEGETABLE,Perennial,Edible berry,LOW,,,,true,true,false,false,true,false,6,10,MED,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,1.5,UNSAFE,LOW,EXCELLENT,1.5,0.8,"[""vegetable"",""staking""]",Deep pot + mulch; blossom drop if nights stay too warm—try heat-set types.,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Tomato_je.jpg/330px-Tomato_je.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Tomato_je.jpg/330px-Tomato_je.jpg,CC,wikipedia,,1,true,no,yes,yes,yes,0.5
chilli,Chilli pepper,Capsicum annuum,Solanaceae,Capsicum,Plantae,VEGETABLE,VEGETABLE,Perennial,Species of flowering plant in the nightshade family,LOW,,,,true,true,false,true,true,true,6,10,MED,TEMPERATE,PART,MED,MED,LOW,1.5,UNSAFE,HIGH,GOOD,1.5,0.8,"[""productive"",""container""]",Very rooftop-friendly in India; watch thrips in dry season.,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Capsicum_annuum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-027.jpg/330px-Capsicum_annuum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-027.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Capsicum_annuum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-027.jpg/330px-Capsicum_annuum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-027.jpg,CC,wikipedia,,1,true,no,yes,yes,yes,0.5
malabar_spinach,Malabar spinach,Basella alba,Basellaceae,Basella,Plantae,VEGETABLE,VEGETABLE,Perennial,Species of edible plant,LOW,,,,true,true,true,false,true,true,4,8,MED,TROPICAL|HOT_HUMID|MONSOON_HEAVY,PART,MED,MED,LOW,0,SAFE,LOW,GOOD,1.5,0.8,"[""climber"",""monsoon_ok""]",Vining leafy green for hot weather—better than true spinach in heat.,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Basella_alba-2.JPG/330px-Basella_alba-2.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Basella_alba-2.JPG/330px-Basella_alba-2.JPG,CC,wikipedia,,1,true,no,yes,yes,yes,0.5
aloe_vera,Aloe vera,Aloe barbadensis miller,,,Plantae,SUCCULENT,SUCCULENT,Perennial,,LOW,,,,false,true,false,true,true,true,4,10,MED,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,UNSAFE,LOW,GOOD,0.9,0.8,"[""succulent"",""medicinal_lookalike_caution""]",Roof workhorse; avoid overwatering in humid monsoon.,,,CC,,,1,true,no,no,no,yes,0.1
