species_key,species_name,climate_suitability,sunlight_preference,water_demand,maintenance_need,root_aggressiveness,pollinator_value,edible,child_pet_safety,native_support,container_suitability,cooling_contribution,privacy_contribution,growth_habit
tulsi_holy,Holy basil (Tulsi),TROPICAL|HOT_HUMID|SUBTROPICAL,PART,MED,MED,LOW,0.5,1,SAFE,HIGH,GOOD,1.3,0.8,HERB
basil_sweet,Sweet basil,TROPICAL|HOT_HUMID|SUBTROPICAL|TEMPERATE,PART,MED,MED,LOW,0,1,SAFE,HIGH,GOOD,1.3,0.8,HERB
mint,Mint,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,1,SAFE,LOW,GOOD,1.3,0.8,HERB
coriander,Coriander (Cilantro),TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,1,SAFE,LOW,GOOD,1.3,0.8,HERB
curry_leaf,Curry leaf tree (Kadi patta),TROPICAL|HOT_HUMID|MONSOON_HEAVY|SUBTROPICAL,PART,MED,MED,LOW,1.5,1,UNSAFE,HIGH,GOOD,1.3,0.8,HERB
lemongrass,Lemongrass,TROPICAL|HOT_HUMID|MONSOON_HEAVY,PART,MED,MED,LOW,0,1,SAFE,HIGH,GOOD,1.3,0.8,HERB
cherry_tomato,Cherry tomato,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,1.5,1,UNSAFE,LOW,EXCELLENT,1.5,0.8,VEGETABLE
chilli,Chilli pepper,TEMPERATE,PART,MED,MED,LOW,1.5,1,UNSAFE,HIGH,GOOD,1.5,0.8,VEGETABLE
malabar_spinach,Malabar spinach,TROPICAL|HOT_HUMID|MONSOON_HEAVY,PART,MED,MED,LOW,0,1,SAFE,LOW,GOOD,1.5,0.8,VEGETABLE
aloe_vera,Aloe vera,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,0,UNSAFE,LOW,GOOD,0.9,0.8,SUCCULENT
jade_plant,Jade plant,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,0,UNSAFE,HIGH,GOOD,0.9,0.8,SUCCULENT
sedum,Sedum (stonecrop),TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,0,SAFE,LOW,GOOD,0.9,0.8,SUCCULENT
prickly_pear,Prickly pear cactus,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,1,UNSAFE,LOW,GOOD,0.9,0.8,SUCCULENT
bougainvillea,Bougainvillea,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,0,UNSAFE,LOW,GOOD,1.5,0.8,ORNAMENTAL
hibiscus,Chinese hibiscus,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,0,UNSAFE,LOW,GOOD,1.5,0.8,ORNAMENTAL
marigold,Marigold (Genda),TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,1,SAFE,LOW,GOOD,1.5,0.8,ORNAMENTAL
portulaca,Portulaca (moss rose),TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,0,SAFE,HIGH,GOOD,1.5,0.8,ORNAMENTAL
vinca,Periwinkle (Vinca),TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,0,UNSAFE,HIGH,GOOD,1.5,0.8,ORNAMENTAL
zinnia,Zinnia,SUBTROPICAL,PART,MED,MED,LOW,0,1,SAFE,HIGH,GOOD,1.5,0.8,ORNAMENTAL
pothos,Money plant (Pothos),TROPICAL|HOT_HUMID|MONSOON_HEAVY|SUBTROPICAL|TEMPERATE,PART,MED,MED,LOW,0,0,UNSAFE,HIGH,EXCELLENT,2.4,1.6,FOLIAGE
snake_plant,Snake plant,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,0,UNSAFE,HIGH,GOOD,2.4,1.6,FOLIAGE
spider_plant,Spider plant,TROPICAL|HOT_HUMID|MONSOON_HEAVY|SUBTROPICAL,PART,MED,MED,LOW,0,0,SAFE,HIGH,GOOD,2.4,1.6,FOLIAGE
geranium_pelargonium,Scented geranium,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,1,UNSAFE,LOW,GOOD,1.5,0.8,ORNAMENTAL
plumeria,Plumeria (Frangipani),TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,0,UNSAFE,LOW,GOOD,1.5,0.8,ORNAMENTAL
okra,Okra (Bhindi),TROPICAL|HOT_HUMID|SUBTROPICAL|TEMPERATE,PART,MED,MED,LOW,0,1,SAFE,HIGH,GOOD,1.5,0.8,VEGETABLE
spinach_indian,Indian spinach (Palak),TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,1,SAFE,HIGH,GOOD,1.3,0.8,HERB
eggplant_mini,Mini brinjal (eggplant),TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,1,UNSAFE,LOW,GOOD,1.5,0.8,VEGETABLE
luffa,Ridge gourd (Turai),TROPICAL|HOT_HUMID|TEMPERATE,PART,MED,MED,LOW,1.5,1,SAFE,HIGH,GOOD,1.5,0.8,VEGETABLE
peace_lily,Peace lily,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,0,UNSAFE,LOW,GOOD,2.4,1.6,FOLIAGE
jasmine_mogra,Mogra jasmine,TROPICAL|HOT_HUMID|MONSOON_HEAVY|SUBTROPICAL,PART,MED,MED,LOW,0,0,SAFE,HIGH,GOOD,1.5,0.8,ORNAMENTAL
vetiver,Vetiver grass,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,0,SAFE,LOW,GOOD,2.5,2.5,GRASS
sweet_potato_vine,Sweet potato vine,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,1.5,1,SAFE,LOW,EXCELLENT,1.5,0.8,ORNAMENTAL
dracaena_marginata,Dragon tree (Dracaena),TROPICAL|HOT_HUMID|MONSOON_HEAVY,PART,MED,MED,LOW,0,0,UNSAFE,HIGH,GOOD,2.4,1.6,FOLIAGE
coleus,Coleus,TROPICAL|HOT_HUMID|SUBTROPICAL,PART,MED,MED,LOW,0,0,SAFE,HIGH,GOOD,2.4,1.6,FOLIAGE
ficus_pumila,Creeping fig,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,0,UNSAFE,HIGH,GOOD,3,2.8,CLIMBER
adenium,Desert rose (Adenium),TROPICAL|HOT_HUMID|SUBTROPICAL|TEMPERATE,PART,MED,MED,LOW,0,0,UNSAFE,HIGH,GOOD,0.9,0.8,SUCCULENT
